MultiMax v1.0,,,
12/10/2012 11:49,,,
,,,
,,,
[DataSet27],,,
,,,
HomePosition,-1.3,in,
PurgePosition,-0.1,in,
StartPosition,0,in,
MaxHeight,0.2,in,
Target,500,psi,
Rate,10,psi / s,
Transition,80,%,
HoldingLoad,7,Ton,
,,,
Time,Height[in],Pressure[psi],Notes
9,-0.356,28,"     StartDataCollection(100);      Intensifier.SetLevelTrigger(@Laser, 1, -0.556);       TRY;         [Forming];           Intensifier.RampOnPressure(500, 10.00, 300.00, 100.00)"
19,-0.356,29,
29,-0.356,31,
39,-0.356,30,
49,-0.356,27,
59,-0.357,26,
69,-0.356,25,
79,-0.356,23,
89,-0.357,26,
99,-0.356,26,
109,-0.357,27,
119,-0.356,29,
129,-0.356,26,
139,-0.356,24,
149,-0.356,29,
159,-0.356,33,
169,-0.356,24,
179,-0.357,23,
189,-0.356,28,
199,-0.356,27,
209,-0.356,31,
219,-0.356,34,
229,-0.356,29,
239,-0.356,32,
249,-0.356,27,
259,-0.356,24,
269,-0.356,28,
279,-0.355,27,
289,-0.355,28,
299,-0.355,31,
309,-0.355,27,
319,-0.355,29,
329,-0.356,25,
339,-0.355,27,
349,-0.356,28,
359,-0.356,27,
369,-0.356,26,
379,-0.356,28,
389,-0.357,24,
399,-0.356,31,
409,-0.356,30,
419,-0.356,29,
429,-0.357,27,
439,-0.356,28,
449,-0.356,32,
459,-0.357,26,
469,-0.356,28,
479,-0.357,29,
489,-0.357,28,
499,-0.357,29,
509,-0.357,31,
519,-0.357,29,
529,-0.357,29,
539,-0.357,28,
549,-0.357,30,
559,-0.357,25,
569,-0.357,27,
579,-0.357,24,
589,-0.357,28,
599,-0.357,28,
609,-0.357,30,
619,-0.356,28,
629,-0.357,27,
639,-0.356,20,
649,-0.357,27,
659,-0.357,30,
669,-0.357,30,
679,-0.356,26,
689,-0.356,29,
699,-0.357,28,
709,-0.356,29,
719,-0.357,28,
729,-0.356,31,
739,-0.356,24,
749,-0.356,29,
759,-0.356,29,
769,-0.357,29,
779,-0.356,27,
789,-0.356,29,
799,-0.356,31,
809,-0.356,29,
819,-0.356,28,
829,-0.356,32,
839,-0.356,26,
849,-0.356,31,
859,-0.357,30,
869,-0.357,25,
879,-0.356,25,
889,-0.357,31,
899,-0.356,28,
909,-0.356,24,
919,-0.357,28,
929,-0.356,30,
939,-0.357,25,
949,-0.356,29,
959,-0.356,27,
969,-0.356,26,
979,-0.356,29,
989,-0.356,23,
999,-0.356,28,
1009,-0.356,29,
1019,-0.356,26,
